Equipo,IP_Destino,Mascara,Gateway
Router1,192.168.10.0,/24,Directa
Router1,172.16.0.0,/16,Directa
Router1,10.0.0.0,/30,Directa
Router1,192.168.20.0,/24,10.0.0.2
Router1,192.168.3.0,/24,10.0.0.2
Router1,0.0.0.0,/0,10.0.0.2
Router2,10.0.0.0,/30,Directa
Router2,10.0.0.4,/30,Directa
Router2,192.168.20.0,/24,Directa
Router2,192.168.10.0,/24,10.0.0.1
Router2,172.16.0.0,/16,10.0.0.1
Router2,192.168.3.0,/24,10.0.0.6
Router2,0.0.0.0,/0,10.0.0.6
Router3,10.0.0.4,/30,Directa
Router3,10.0.0.8,/30,Directa
Router3,192.168.3.0,/24,Directa
Router3,192.168.20.0,/24,10.0.0.5
Router3,192.168.10.0,/24,10.0.0.5
Firewall1,10.0.0.8,/30,Directa
Firewall1,0.0.0.0,/0,10.0.0.9
